dt,gas
2021-04-01,111875878.62000033
2021-08-01,120938403.99000014
2021-12-01,124206396.9299999
2021-02-01,103485465.29999991
2021-01-01,113414680.67999989
2021-07-01,120155949.10999985
2021-06-01,116094752.33999977
2021-03-01,113190411.12999983
2021-05-01,118419599.60000011
2021-11-01,118148456.54999992
2021-10-01,119940751.91999997
2021-09-01,115054797.31000014
2022-04-01,109585294.79999997
2022-08-01,112561633.21999997
2022-12-01,101758469.59000012
2022-02-01,104529856.76999998
2022-01-01,120432002.67999998
2022-07-01,114180248.14999962
2022-06-01,112094285.14999987
2022-03-01,114224214.47000003
2022-05-01,115161180.88999982
2022-11-01,103429309.62999992
2022-10-01,108025864.42999974
2022-09-01,106583626.3899998
2023-04-01,93949028.00000007
2023-08-01,94962030.94999997
2023-12-01,98550022.08999977
2023-02-01,92417684.18999995
2023-01-01,105747285.83000006
2023-07-01,91929490.61000013
2023-06-01,90966388.78999999
2023-03-01,99947667.08999999
2023-05-01,96357695.65999976
2023-11-01,96503115.22999978
2023-10-01,97850347.35999988
2023-09-01,94268032.76999995
